N,E [H]
1,-74.91264014941959
2,-74.92474904207516
3,-74.94293711695126
4,-74.9436666718193
5,-74.9461974122808
6,-74.94803483119527
7,-74.94852406574988
8,-74.94899014618802
9,-74.95222739998908
10,-74.9532546684
11,-74.95464296805785
12,-74.95607496777566
13,-74.95701995371115
14,-74.95746322208377
15,-74.95894103909767
16,-74.95921069445525
17,-74.95953304515244
18,-74.95990026087543
19,-74.96190240709245
20,-74.96351403913815
21,-74.96389840671824
22,-74.96478195299106
23,-74.96712988031946
24,-74.96718529307893
25,-74.96872875925432
26,-74.96920751512476
27,-74.96922996550164
28,-74.96964940756139
29,-74.97072707610435
30,-74.97151082923452
31,-74.97299648241994
32,-74.97443018135093
33,-74.97537873597534
34,-74.97538876221752
35,-74.97577110974954
36,-74.97661645715867
37,-74.97703952179664
38,-74.97717760242092
39,-74.97721510105117
40,-74.97726152471671
41,-74.97774701660495
42,-74.97805330423577
43,-74.97825116992317
44,-74.97826029627018
45,-74.97830501955772
46,-74.97919975681026
47,-74.97929158414779
48,-74.97930752146964
49,-74.98034401978998
50,-74.98049710356517
51,-74.98052915741391
52,-74.98069661892954
53,-74.98144876529582
54,-74.98170978473173
55,-74.98187639985713
56,-74.98192127908891
57,-74.98204628835926
58,-74.98210246784589
59,-74.9822707620351
60,-74.98231854820988
61,-74.98262856588974
62,-74.98271193587378
63,-74.98271244676823
64,-74.98273727475663
65,-74.98282987697792
66,-74.98285450842923
67,-74.98302136061459
68,-74.9830241132886
69,-74.9830618333332
70,-74.98317128507642
71,-74.98336461386018
72,-74.98338150169536
73,-74.98340016391835
74,-74.9834443409277
75,-74.98345973481594
76,-74.98346857427057
77,-74.98349255265042
78,-74.98379662061608
79,-74.98380611153509
80,-74.9838157562594
81,-74.98387978301817
82,-74.9838808340314
83,-74.9838815959567
84,-74.98389020623821
85,-74.98390687354528
86,-74.98395261005533
87,-74.98396026179019
88,-74.98405602493473
89,-74.98406306252781
90,-74.98410262737359
91,-74.98410328866181
92,-74.98414340437692
93,-74.98418223512533
94,-74.9841952259751
95,-74.98425223208184
96,-74.98431119875133
97,-74.98431261931523
98,-74.98435846954185
99,-74.9843993446717
100,-74.98442376889597
101,-74.98442687865489
