N,E [H]
1,-14.634822466962714
2,-14.644476656000872
3,-14.649784100992482
4,-14.650187377488345
5,-14.650527720928569
6,-14.650569082333334
7,-14.650573640986991
8,-14.650583010795136
9,-14.650594515302595
10,-14.650596985681979
11,-14.650597526406969
12,-14.650602016962232
13,-14.650603867383511
14,-14.650604264804054
15,-14.650605178017289
16,-14.650605957053488
17,-14.650606210482286
18,-14.65060956948972
19,-14.650610429637222
20,-14.65061187699841
21,-14.65061302793422
