N,E [H]
1,-14.592522760141994
2,-14.595718143477557
3,-14.59672410579967
4,-14.607055405036059
5,-14.611327152483687
6,-14.61676231836784
7,-14.622140615719303
8,-14.622191330989518
9,-14.623669049213081
10,-14.62495408379704
11,-14.626089318989855
12,-14.628103498299044
13,-14.628253420004615
14,-14.62858109192665
15,-14.628791827980693
16,-14.629334357915372
17,-14.629429017690558
18,-14.630213691477204
19,-14.630514017662271
20,-14.630526453664903
21,-14.630544342755975
22,-14.63071596392856
23,-14.630773989754255
24,-14.630781277496945
25,-14.630782042524661
26,-14.630823168678349
27,-14.630828701673337
28,-14.630933604626785
29,-14.631029973385289
30,-14.63104479437817
31,-14.631066857853666
32,-14.631074016311366
33,-14.631101026855012
34,-14.631101247369509
35,-14.631131773981489
36,-14.631141544860714
37,-14.631142704280803
38,-14.631165657024072
39,-14.631175871996822
40,-14.631187631646952
41,-14.631191332617462
42,-14.63122012556562
43,-14.63123019334753
44,-14.631235788829283
45,-14.631241920067993
46,-14.631255244985828
47,-14.631257325005741
48,-14.63125911453463
49,-14.631268430513343
50,-14.631270831884354
51,-14.631278307724209
52,-14.631281058010323
53,-14.631282678735193
54,-14.63129179879977
55,-14.63129251314573
56,-14.6312991530516
57,-14.631299971460514
58,-14.631301739054285
59,-14.631305188445127
60,-14.631306866503142
61,-14.631313719815623
62,-14.63131879771022
63,-14.63131973480537
64,-14.631320675561204
65,-14.631324735292285
66,-14.631334206323682
67,-14.631334368004351
68,-14.631339203619874
69,-14.631340316040355
70,-14.63134412418194
71,-14.631350266304217
72,-14.63135041714123
73,-14.631356334898998
74,-14.631363495553378
75,-14.63136675696313
76,-14.631367177171567
77,-14.63138367863124
78,-14.631387276469821
79,-14.631388213279179
80,-14.631388352117431
81,-14.631388690957149
82,-14.631390786918542
83,-14.631392486530377
84,-14.63139747489281
85,-14.6314096831466
86,-14.631411917864721
87,-14.631413278651019
88,-14.631417683901203
89,-14.631417835191133
90,-14.631422649272988
91,-14.631425906915839
92,-14.631428256808954
93,-14.631428597007943
94,-14.631436052018167
95,-14.631439463998712
96,-14.631441292433
97,-14.631445029847605
98,-14.631445827229424
99,-14.631448463893127
100,-14.631453715416734
101,-14.631456611545055
