N,E [H]
1,-14.638642834180839
2,-14.646546537711163
3,-14.65337628986538
4,-14.653936373709074
5,-14.659310272750773
6,-14.660161437686735
7,-14.662324389651776
8,-14.662791051802479
9,-14.663003700659281
10,-14.663547931941018
11,-14.664125657973662
12,-14.664855904970954
13,-14.664925618139764
14,-14.665354571730589
15,-14.665490844351842
16,-14.665690094243699
17,-14.665805292482236
18,-14.665909740320718
19,-14.66595044600351
20,-14.666006591659078
21,-14.66602883263726
22,-14.666137748082953
23,-14.666143075817594
24,-14.666173699224682
25,-14.666209871440076
26,-14.666279965309243
27,-14.666328399374516
28,-14.666343891229612
29,-14.666358494115546
30,-14.666373823827323
31,-14.666395171953507
32,-14.66640836296923
33,-14.666417494928915
34,-14.666441725051683
35,-14.666453392720616
36,-14.666455905687364
37,-14.666462343192455
38,-14.666473418631472
39,-14.666478261466535
40,-14.66648493222429
41,-14.666489111432938
42,-14.666507798966887
43,-14.666514746654475
44,-14.666525765422866
45,-14.66653296777813
46,-14.666538181138089
47,-14.66654273611033
48,-14.666546370490611
49,-14.666562109226705
50,-14.666571554271982
51,-14.666573427271178
52,-14.66658631199869
53,-14.666590412131882
54,-14.666592413492314
55,-14.666598065611797
56,-14.666600086629057
57,-14.666601722288044
58,-14.666603622057277
59,-14.666606428627526
60,-14.666607881924417
61,-14.666613514905206
62,-14.66661679455392
63,-14.66662328814429
64,-14.666629671635459
65,-14.666630811903287
66,-14.666633992615797
67,-14.666635927243126
68,-14.666639679850247
69,-14.666648077567075
70,-14.666651496722665
71,-14.66665346098266
72,-14.666658262176094
73,-14.666661236059298
74,-14.666683222323236
75,-14.666686986301379
76,-14.666689988360393
77,-14.666693703318007
78,-14.66669723501598
79,-14.666697274565093
80,-14.66669831714591
81,-14.666704183579023
82,-14.66670872513593
83,-14.666711859363353
84,-14.666713521638686
85,-14.666715726025735
86,-14.666717723949356
87,-14.666723731264353
88,-14.66672544416737
89,-14.666726822254859
90,-14.66672685130323
91,-14.666726912484654
92,-14.666729980215793
93,-14.66673007230986
94,-14.666732742137716
95,-14.66673347950083
96,-14.66673772597356
97,-14.666740933480895
98,-14.66674737209682
99,-14.666749132935635
100,-14.66675016720774
101,-14.666753841917037
