N,E [H]
1,-14.562399207450508
2,-14.625954337400387
3,-14.62629165906359
4,-14.627938891733018
5,-14.628586437467794
6,-14.630256512353833
7,-14.63122637373913
8,-14.631332816504829
9,-14.631541598835355
10,-14.631647408443726
11,-14.631882206828884
12,-14.632032665479006
13,-14.63217149346085
14,-14.632274441729543
15,-14.632335024294248
16,-14.632407200705247
17,-14.632458427003861
18,-14.632477394394147
19,-14.632499059397222
20,-14.632577759248171
21,-14.632626800374098
22,-14.63264492967072
23,-14.632670608992441
24,-14.63272334834886
25,-14.632753836694105
26,-14.63277017782087
27,-14.63280505806244
28,-14.632806472412673
29,-14.632832148468248
30,-14.632841737927304
31,-14.63285722612053
32,-14.632868926120537
33,-14.632892913092787
34,-14.632904674467937
35,-14.632929165338139
36,-14.632940829332066
37,-14.632958557259613
38,-14.632977088440267
39,-14.632983068065492
40,-14.632984688401239
41,-14.633002055037139
42,-14.633015582434219
43,-14.63301704237057
44,-14.63302232366537
45,-14.633031344660811
46,-14.633034094818955
47,-14.633041029057535
48,-14.633047921780904
49,-14.633050891727045
50,-14.633052819912121
51,-14.633055825301414
