N,E [H]
1,-107.45752157947129
2,-107.4582425026765
3,-107.45978516613133
4,-107.46042555610417
5,-107.46234939975709
6,-107.46259250506384
7,-107.46267345560888
8,-107.46605340146193
9,-107.46638031827626
10,-107.47844328524153
11,-107.47846214955068
12,-107.47880227128618
13,-107.47887836654114
14,-107.48258371605762
15,-107.48392903261268
16,-107.48477725681154
17,-107.48625881342747
18,-107.49201105930217
19,-107.4924952790641
20,-107.50157197220533
21,-107.50170495213844
22,-107.50173962476585
23,-107.5020564168573
24,-107.50209463080823
25,-107.50214427141393
26,-107.50709597651318
27,-107.51713959453608
28,-107.5180682233766
29,-107.51823962080852
30,-107.51851173725156
31,-107.51865592988626
32,-107.519653021467
33,-107.51965747801732
34,-107.51966204611453
35,-107.51968804435634
36,-107.5258888865859
37,-107.52666254695758
38,-107.52690108529372
39,-107.52744459878475
40,-107.5295948486415
41,-107.53004878057347
42,-107.5306124919181
43,-107.53072266468963
44,-107.53207973493559
45,-107.53215043563533
46,-107.53230320019694
47,-107.5326789926242
48,-107.53309801628914
49,-107.53347282361635
50,-107.53350303636996
51,-107.53467471744197
52,-107.53557613961736
53,-107.5367920670355
54,-107.53724332966527
55,-107.53738690391539
56,-107.53779825453906
57,-107.53784529434851
58,-107.5380818140974
59,-107.53839923924991
60,-107.5384408584329
61,-107.53848813080963
62,-107.53869680360336
63,-107.53872141822903
64,-107.5389207442973
65,-107.53899415263228
66,-107.53900379205113
67,-107.5391461147139
68,-107.53974309404803
69,-107.53980621724736
70,-107.54249747405842
71,-107.5429695940281
72,-107.54305957701303
73,-107.54308207952829
74,-107.54311574941802
75,-107.54404486574211
76,-107.54444983961717
77,-107.54472046178108
78,-107.54485260137773
79,-107.5448765475739
80,-107.54575630388659
81,-107.5464761804997
82,-107.551005987743
83,-107.55122982045235
84,-107.5524613940258
85,-107.55247748945882
86,-107.55257340603059
87,-107.55278187576252
88,-107.55279027437555
89,-107.55297146121686
90,-107.55306527648335
91,-107.55310194575647
92,-107.55319456162457
93,-107.5532272222782
94,-107.5536978292639
95,-107.55370112174805
96,-107.55371947923722
97,-107.55373116924336
98,-107.5570682934092
99,-107.55708819160499
100,-107.55769726451472
101,-107.5581224694816
