N,E [H]
1,-147.11741418459889
2,-147.30029112757322
3,-147.30297348071585
4,-147.30367714178433
5,-147.39147117434783
6,-147.39572273717803
7,-147.39588178505787
8,-147.3960375479317
9,-147.39615008752847
10,-147.40143360598668
11,-147.41464981622366
12,-147.41922970692656
13,-147.42122515235286
14,-147.42176102326727
15,-147.42292303842808
16,-147.42298255298005
17,-147.42302096479276
18,-147.42318439322466
19,-147.42386760592507
20,-147.42387776073903
21,-147.42429301622934
22,-147.42456235905524
23,-147.42717135183344
24,-147.4279572606076
25,-147.47662783175363
26,-147.4769313602748
27,-147.47787754160495
28,-147.47833366966714
29,-147.47835993848406
30,-147.4784882609395
31,-147.48413356514226
32,-147.48415562073623
33,-147.48424550564314
34,-147.4847822785607
35,-147.48479648246212
36,-147.48662746098364
37,-147.48729379690093
38,-147.52084650526916
39,-147.52156538415093
40,-147.52284594807557
41,-147.52302220367076
42,-147.52352814285368
43,-147.5242747618919
44,-147.52441005727383
45,-147.52557950869746
46,-147.52610950097406
47,-147.5261694076031
48,-147.5263255517556
49,-147.5265977121883
50,-147.5270791820959
51,-147.53229279424343
52,-147.5328914788457
53,-147.5328935972264
54,-147.5329060396892
55,-147.533211978248
56,-147.5333119719519
57,-147.53331852896122
58,-147.53340184471833
59,-147.53500389689214
60,-147.5352298962779
61,-147.5353030345649
62,-147.5362442262984
63,-147.53695400629866
64,-147.53698207626397
65,-147.54773163306632
66,-147.5484829801045
67,-147.5493728513643
68,-147.54998293801773
69,-147.55026504464627
70,-147.55028866549722
71,-147.55045354487967
72,-147.55047542594863
73,-147.5514060340874
74,-147.55179953491356
75,-147.55193175140195
76,-147.55199314240085
77,-147.55260593671497
78,-147.55260968497572
79,-147.5529141661351
80,-147.55295797275664
81,-147.5535532486755
82,-147.55356012219863
83,-147.5535886212222
84,-147.554392616215
85,-147.55497944904465
86,-147.55513268935613
87,-147.55550832698145
88,-147.55558957236516
89,-147.55581488269215
90,-147.5558290650897
91,-147.55616963650814
92,-147.55644835440324
93,-147.55646374957405
94,-147.5607783968537
95,-147.56115483846816
96,-147.5612492408003
97,-147.56128900285975
98,-147.5613963595111
99,-147.56142262815115
100,-147.5624485578606
101,-147.56314335033818
